"id","tissue"
"17.6","germline"
"297","germline"
"1731","germline"
"accord","germline"
"accord2","germline"
"baggins","germline"
"Bari1","germline"
"Bari2","germline"
"BS","germline"
"BS3","germline"
"Burdock","germline"
"Circe","germline"
"copia","germline"
"Cr1a","germline"
"diver","germline"
"diver2","germline"
"Doc","germline"
"Doc2-element","germline"
"Doc3-element","germline"
"F-element","germline"
"Fw2","germline"
"Fw3","germline"
"G2","germline"
"G4","germline"
"G6","germline"
"G-element","germline"
"gypsy12","germline"
"gypsy4","germline"
"gypsy7","germline"
"gypsy8","germline"
"HeT-A","germline"
"HMS-Beagle","germline"
"hobo","germline"
"I-element","germline"
"invader1","germline"
"invader2","germline"
"invader3","germline"
"invader4","germline"
"invader6","germline"
"Ivk","germline"
"Max-element","germline"
"mdg3","germline"
"micropia","germline"
"pogo","germline"
"R1-2","germline"
"roo","germline"
"rooA","germline"
"rover","germline"
"Rt1a","germline"
"Rt1b","germline"
"S-element","germline"
"TAHRE","germline"
"TART-A","germline"
"TART-B","germline"
"TART-C","germline"
"transib2","germline"
"Idefix","intermediate"
"412","intermediate"
"blood","intermediate"
"gypsy2","intermediate"
"gypsy3","intermediate"
"gypsy6","intermediate"
"mdg1","intermediate"
"Quasimodo","intermediate"
"Stalker2","intermediate"
"Stalker4","intermediate"
"Tirant","intermediate"
"Transpac","intermediate"
"gtwin","soma"
"gypsy","soma"
"gypsy10","soma"
"gypsy5","soma"
"Tabor","soma"
"ZAM","soma"
"1360","other"
"3S18","other"
"aurora-element","other"
"BS4","other"
"Dm88","other"
"Doc4-element","other"
"FB","other"
"flea","other"
"frogger","other"
"G3","other"
"G5","other"
"G5A","other"
"G7","other"
"GATE","other"
"gypsy11","other"
"gypsy9","other"
"HB","other"
"Helena","other"
"Helitron","other"
"HMS-Beagle2","other"
"hopper","other"
"hopper2","other"
"INE-1","other"
"invader5","other"
"jockey","other"
"jockey2","other"
"Juan","other"
"looper1","other"
"mariner2","other"
"McClintock","other"
"NOF","other"
"opus","other"
"Osvaldo","other"
"P-element","other"
"Porto1","other"
"Q-element","other"
"R1A1-element","other"
"R2-element","other"
"Rt1c","other"
"S2","other"
"springer","other"
"Stalker","other"
"Stalker3","other"
"Tc1","other"
"Tc1-2","other"
"Tc3","other"
"Tom1","other"
"transib1","other"
"transib3","other"
"transib4","other"
"Xanthias","other"
"X-element","other"
